id,lat,lng,name,name_en,type,routes
6559522785,40.3935467,49.8155788,Şəfaət Mehdiyev küçəsi 323,Shafayat Mehdiyev,bus_stop,
6578712285,40.4021486,49.9409895,81,,bus_stop,
6597583987,40.5759079,46.3098912,,Military campus,bus_stop,
6597589485,40.5987993,46.3276925,,Central Hospital,bus_stop,
6597613685,40.6979081,46.3612083,,,bus_stop,
6597613687,39.2002207,45.4177051,,,bus_stop,
6597613688,39.2001775,45.4164525,,,bus_stop,
6597613689,39.2024378,45.4102914,,,bus_stop,
6597613785,39.1916978,45.4395007,,,bus_stop,
6597613786,39.2020738,45.4255496,,,bus_stop,
6597613787,39.2033538,45.4088788,,,bus_stop,
6597613789,39.2085066,45.4085492,,,bus_stop,
6597613790,39.2132304,45.4082302,,,bus_stop,
6597613791,39.2208244,45.4075557,,,bus_stop,
6597613792,39.2089232,45.4121672,,,bus_stop,
6597613793,39.2118865,45.4119156,,,bus_stop,
6597613794,39.2198548,45.4059144,,,bus_stop,
6597613795,39.2161705,45.4202693,,,bus_stop,
6597613886,39.2157816,45.4202333,,,bus_stop,
6597614085,39.2023295,45.425608,,,bus_stop,
6597614086,39.206147,45.4088814,,,bus_stop,
6597614088,39.2158894,45.4060186,,,bus_stop,
6597614285,39.1958527,45.4269444,,,bus_stop,
6597614286,39.1968349,45.4201524,,,bus_stop,
6597624085,39.2154984,45.4115038,,,bus_stop,
6598042010,38.9453267,48.0649515,ترمینال تولون,Tulun Bus Station,bus_station,
6600781822,40.6895444,46.5609856,,Bus Stop,bus_stop,
6602504910,40.4257716,49.906012,Aşqarlar Kimyası İnstitutu,,bus_stop,
6602508052,40.4252661,49.905295,73 nömrəli tam orta məktəb,,bus_stop,
6602730825,40.4256636,49.9162237,Z. Bünyadov pr. Bakı Olimpiya Stadionu,,bus_stop,
6602730826,40.4253522,49.9155675,Z. Bünyadov pr. Bakı Olimpiya Stadionu,,bus_stop,
6602735851,40.4412061,49.9333964,Sabunçu dairəsi,,bus_stop,
6602735852,40.4434245,49.9340062,,,bus_stop,
6602747625,40.4285002,49.8983174,Ziya Bünyadov prospekti,,bus_stop,
6602747626,40.4275406,49.8993218,Ziya Bünyadov pr. 20/61,,bus_stop,
6602747627,40.424096,49.8769549,Ziya Bünyadov pr. 314,,bus_stop,
6602747628,40.4246339,49.8768781,Ziya Bünyadov pr. 435,,bus_stop,
6602747629,40.4127446,49.8434104,Sənayecihaz elmi-istehsalat müəssisəsi,,bus_stop,
6602747630,40.4117243,49.8411439,Bakı Biznes və Kooperasiya Kolleci,,bus_stop,
6602747631,40.3980453,49.8154449,Ə. Salamzadə küçəsi 140,,bus_stop,
6603887832,40.5325861,48.899298,,,bus_stop,
6603887833,40.5322338,48.8994086,,,bus_stop,
6603915273,40.5021285,49.2683137,,,bus_stop,
6603915274,40.5018377,49.2691356,,,bus_stop,
6604356327,40.5217368,48.9383542,,,bus_stop,
6604356328,40.521364,48.9392368,,,bus_stop,
6604356333,40.5095569,48.9459202,,,bus_stop,
6604356334,40.5074583,48.9547955,,,bus_stop,
6604356335,40.5073264,48.9538144,,,bus_stop,
6604367364,40.5345874,48.9086677,,,bus_stop,
6604367365,40.5342734,48.9087736,,,bus_stop,
6604386018,40.5172447,48.8273371,,,bus_stop,
6604386019,40.516952,48.8268842,,,bus_stop,
6604481025,40.6361863,46.4054997,,,bus_stop,
6604481026,40.6358097,46.4055265,,,bus_stop,
6627173885,40.5206384,50.1107369,,,bus_stop,
6653042586,40.4648156,49.8117293,100 nömrəli avtobusun son dayanacağı,,bus_stop,
6658198687,40.8485089,48.3860417,,"Bus stop to Ismailli 8:00,13:00,16:00",bus_stop,
6670176585,41.3624557,48.5290973,,"Marshrutka #1 to Bus Station (0,20AZN)",bus_stop,
6680351789,40.7017177,46.3204347,,Bus station to Georgia (Qazax),bus_stop,
6720116085,40.5131237,49.9454728,Məmmədli,,stop_position,
6742505560,40.4459779,49.9467851,Sabunçu,,stop_position,
6742509928,40.4319376,49.9538442,Bakıxanov,,stop_position,
6746735285,41.4156579,46.9029048,İlisu avtobusları,Bus to Ilisu,bus_stop,
6746735286,40.6222967,48.6542594,Bakı Taxi,"Private cars to Baku, reasonable price",bus_station,
6763552177,40.3602847,49.8331649,Bəhram Gur,,station,
6766377501,40.3848579,49.8829739,Mərkəzi Bulvar küçəsi 3,,bus_stop,
6863159334,39.9658817,49.4060054,,,bus_stop,
6863162501,40.6675766,46.3673554,,,bus_stop,
6863882633,40.6666594,46.3531525,Bus #4,,bus_stop,
6863890535,40.6644113,46.3551087,Bus #4,,bus_stop,
6863893645,40.6421409,46.3417666,Bus #4,,bus_stop,
6863894332,40.6551471,46.3495002,Bus #4,,bus_stop,
6863895636,40.6637708,46.3588667,Bus #4,,bus_stop,
6863898420,40.6726886,46.3569811,Bus #4,,bus_stop,
6863905530,40.674451,46.355308,Bus #4,,bus_stop,
6863905930,40.6621353,46.3574979,Bus #4,,bus_stop,
6863906871,40.6663033,46.3527089,Bus #4,,bus_stop,
6863908137,40.647235,46.3482944,Bus #4,,bus_stop,
